No_Vuelo,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
1253,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1254,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1255,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1256,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1257,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1258,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1259,BJX,DFW,20.9935,-101.481,32.8968,-97.038
1260,BJX,DFW,20.9935,-101.481,32.8968,-97.038
1261,BJX,DFW,20.9935,-101.481,32.8968,-97.038
1262,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1263,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1264,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1265,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1266,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1267,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1268,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1269,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1270,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1271,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1272,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1273,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1274,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1275,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1276,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1277,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1278,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1279,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1280,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1281,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1282,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1283,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1284,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1285,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1286,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1287,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1288,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1289,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1290,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1291,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1292,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1293,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1294,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1295,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1296,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1297,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1298,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1299,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1300,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1301,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1302,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1303,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1304,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1305,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1306,MEX,DFW,19.4363,-99.0721,32.8968,-97.038
1307,PBC,DFW,19.1581,-98.3714,32.8968,-97.038
1308,MTY,MIA,25.7785,-100.107,25.7932,-80.2906
1309,MTY,MIA,25.7785,-100.107,25.7932,-80.2906
1310,MTY,MIA,25.7785,-100.107,25.7932,-80.2906
1311,MEX,PHX,19.4363,-99.0721,33.4343,-112.012
1312,MID,MIA,20.937,-89.6577,25.7932,-80.2906
1313,MID,MIA,20.937,-89.6577,25.7932,-80.2906
1314,MTY,MIA,25.7785,-100.107,25.7932,-80.2906
